"carat","cut","color","clarity","depth","table","price","x","y","z"
1.5,"Very Good","E","SI1",59.4,59,11325,7.42,7.49,4.43
0.36,"Very Good","G","VVS2",61.9,58,821,4.54,4.6,2.83
0.33,"Premium","G","VS1",60.5,58,666,4.43,4.49,2.7
0.23,"Very Good","E","VVS2",62.3,55,505,3.9,3.93,2.44
0.71,"Very Good","F","VVS2",63.6,56,3332,5.65,5.7,3.61
1.28,"Ideal","J","SI1",61.2,57,4967,7.02,6.96,4.28
2.01,"Premium","I","SI1",60.5,58,12829,8.2,8.06,4.92
0.5,"Ideal","F","VVS1",61,57,2165,5.13,5.16,3.14
0.3,"Ideal","D","SI1",61.9,54,552,4.32,4.34,2.68
0.4,"Ideal","E","VS1",61.6,56,1053,4.73,4.78,2.93
0.33,"Very Good","H","VVS2",61.6,56,614,4.44,4.47,2.74
0.4,"Ideal","G","SI2",62.1,55,926,4.73,4.74,2.94
0.51,"Very Good","D","VS2",63.2,56,1722,5.04,5.08,3.2
0.75,"Very Good","F","SI1",63.5,56,2372,5.75,5.71,3.64
0.3,"Ideal","G","VS1",61.5,56,776,4.34,4.28,2.65
0.52,"Premium","G","VS2",61.7,58,1577,5.16,5.14,3.18
1.06,"Premium","F","SI1",61,58,5236,6.65,6.6,4.04
0.72,"Very Good","I","VS2",63.3,55,2337,5.7,5.74,3.62
0.46,"Ideal","E","VVS1",62.6,53,1816,4.93,4.97,3.1
0.7,"Premium","G","SI2",61.8,61,2056,5.66,5.63,3.49
0.34,"Premium","G","VVS2",61.7,56,995,4.51,4.47,2.77
0.72,"Premium","E","VS1",61.5,60,2961,5.79,5.75,3.55
1.09,"Ideal","H","SI2",61.5,55,4212,6.65,6.68,4.1
0.28,"Ideal","F","VVS2",62.5,57,642,4.18,4.21,2.62
0.72,"Very Good","H","VVS2",60.3,56,2771,5.81,5.83,3.51
0.3,"Ideal","G","IF",62.2,55,844,4.3,4.32,2.68
0.63,"Ideal","I","SI1",62,57,1372,5.47,5.49,3.4
1.51,"Ideal","G","SI2",60.5,55,8794,7.4,7.36,4.46
0.36,"Ideal","H","VVS1",61.5,56,794,4.57,4.6,2.82
0.93,"Ideal","H","SI1",61.7,55,4317,6.26,6.29,3.87
0.42,"Premium","D","SI2",62.1,59,898,4.82,4.78,2.98
0.57,"Good","I","SI1",63.3,56,1072,5.27,5.29,3.34
2.12,"Ideal","F","SI2",62.3,57,17730,8.19,8.22,5.11
1.57,"Premium","J","VS1",60.8,61,7190,7.6,7.49,4.59
0.75,"Good","E","SI1",58.3,60,2923,5.94,5.99,3.48
0.33,"Ideal","D","SI2",61.1,57,631,4.5,4.47,2.74
1.51,"Very Good","I","SI2",63.1,60,6630,7.19,7.13,4.52
2.49,"Ideal","J","SI1",63.8,54,16915,8.56,8.49,5.45
1.01,"Very Good","E","VS2",59.3,59,5760,6.5,6.56,3.87
1.2,"Very Good","D","SI2",63.2,60,5174,6.65,6.54,4.17
0.3,"Premium","D","VS2",60.7,60,710,4.33,4.37,2.64
0.71,"Premium","D","VS2",61.2,59,2874,5.69,5.74,3.5
1,"Good","J","VVS1",63.5,59,4633,6.29,6.34,4.01
1.01,"Premium","I","SI1",59.9,59,4129,6.46,6.42,3.86
1.04,"Ideal","G","SI2",61.7,56,4455,6.57,6.52,4.04
0.78,"Very Good","F","SI2",58.3,62,2477,6.04,6.11,3.54
1.56,"Good","G","SI2",63.7,54,6246,7.35,7.31,4.67
0.7,"Ideal","I","VS2",61.9,57,3298,5.68,5.73,3.53
0.37,"Premium","D","VS1",60.2,60,803,4.63,4.68,2.8
0.44,"Ideal","G","IF",61.3,55,1378,4.91,4.95,3.02
0.4,"Very Good","E","SI2",58.7,59,622,4.78,4.82,2.82
1.08,"Very Good","H","VS2",58.1,62,5524,6.72,6.74,3.91
1.12,"Premium","E","I1",61,59,3942,6.7,6.74,4.1
1.04,"Premium","E","VVS2",62.8,58,9882,6.45,6.42,4.04
0.7,"Very Good","F","SI1",61.7,61,2230,5.67,5.7,3.51
0.4,"Good","G","SI1",63.1,56,655,4.72,4.75,2.99
0.41,"Ideal","E","SI1",61.4,57,705,4.78,4.8,2.94
0.34,"Premium","D","SI2",60.6,60,650,4.53,4.48,2.73
0.3,"Premium","F","VS2",60.7,58,776,4.35,4.32,2.63
0.54,"Ideal","F","VS2",62,55,1619,5.26,5.23,3.25
0.93,"Premium","F","I1",61.3,59,2396,6.27,6.22,3.83
0.27,"Ideal","G","VS2",61.5,55,490,4.18,4.21,2.58
1.09,"Ideal","H","VS1",61.3,54,6643,6.66,6.68,4.09
0.3,"Premium","G","VS1",61.4,58,776,4.35,4.32,2.66
1.51,"Premium","H","VS1",62.4,60,10939,7.34,7.27,4.56
2.51,"Premium","H","SI2",59.3,61,14543,8.81,8.77,5.21
0.43,"Ideal","E","VVS2",61.7,55,1426,4.86,4.87,3
0.31,"Very Good","G","VVS1",62.8,53,816,4.34,4.36,2.73
1.52,"Very Good","D","SI2",61.2,63,9030,7.39,7.31,4.5
0.41,"Premium","J","VS2",61.9,59,784,4.74,4.69,2.92
1.22,"Ideal","J","SI2",61.2,57,4676,6.86,6.9,4.21
1.01,"Very Good","H","VS2",62.1,57,5028,6.39,6.45,3.99
0.6,"Ideal","G","VVS1",62,55.5,2524,5.37,5.42,3.35
0.41,"Ideal","F","VS2",61.1,56,1107,4.83,4.8,2.94
0.32,"Ideal","G","VS1",60.8,57,645,4.39,4.42,2.68
2.02,"Very Good","D","SI2",62.3,56,17263,7.99,8.06,5
0.4,"Premium","G","VVS2",62.5,60,1050,4.7,4.65,2.92
1.01,"Premium","J","VS1",63,55,3790,6.39,6.34,4.01
0.33,"Very Good","E","VVS2",60.1,63,981,4.45,4.5,2.69
0.74,"Ideal","D","VS1",61.3,57,3812,5.8,5.84,3.57
0.3,"Premium","D","SI2",62.9,58,574,4.29,4.26,2.69
0.45,"Ideal","G","VS1",62.8,58,1055,4.83,4.88,3.05
1.08,"Ideal","G","VS2",62.3,54,7187,6.59,6.61,4.11
1.01,"Ideal","H","SI1",62.7,56,5457,6.37,6.42,4.01
1,"Very Good","G","SI1",61.4,57,4919,6.45,6.42,3.95
0.38,"Ideal","F","VVS1",62.2,57,1257,4.68,4.64,2.9
0.42,"Ideal","I","VVS1",62.7,55,884,4.77,4.8,3
0.73,"Ideal","E","SI1",62.8,57,2728,5.73,5.74,3.6
0.36,"Premium","D","VS2",61.8,58,1094,4.58,4.55,2.82
0.9,"Good","G","VS1",64.5,57,3977,6.01,6.08,3.9
0.7,"Good","F","SI1",64.1,56,2289,5.63,5.6,3.6
0.7,"Premium","D","SI2",58.6,60,1848,5.89,5.78,3.42
0.34,"Ideal","D","VVS1",61.7,56,1133,4.46,4.48,2.76
1.54,"Very Good","I","SI2",63.3,60,7437,7.34,7.31,4.64
0.34,"Premium","G","VVS2",61.6,58,775,4.44,4.49,2.75
0.63,"Ideal","D","SI1",61.1,56,1779,5.52,5.58,3.39
0.52,"Ideal","F","IF",61.5,57,2749,5.15,5.19,3.18
1.07,"Ideal","D","VVS2",61.3,58,10266,6.55,6.64,4.04
1.5,"Very Good","E","SI1",61.4,59,11533,7.24,7.41,4.5
0.77,"Ideal","I","VVS2",62.1,57,2824,5.84,5.86,3.63
0.78,"Ideal","I","VVS2",62.4,56,3267,5.87,5.9,3.67
0.41,"Very Good","H","VS1",61.5,55,788,4.8,4.82,2.96
1.04,"Good","F","VS2",63.7,58,6727,6.43,6.34,4.07
0.57,"Very Good","D","VS2",60.4,57,1651,5.35,5.38,3.24
1.25,"Very Good","H","SI2",63.2,60,4199,6.87,6.81,4.32
0.71,"Premium","G","VS1",62.2,59,2825,5.73,5.66,3.54
0.54,"Ideal","G","VS1",62.2,56,1637,5.19,5.23,3.24
0.28,"Very Good","F","IF",59.8,56,787,4.27,4.29,2.56
1.11,"Premium","H","I1",61,59,3263,6.67,6.61,4.05
0.34,"Ideal","I","SI1",61.9,56,469,4.47,4.5,2.77
1.01,"Premium","H","IF",62.1,59,6702,6.47,6.41,4
0.77,"Very Good","D","VS2",61.2,59,3489,5.86,5.91,3.6
0.34,"Ideal","H","VVS1",62.2,54,740,4.48,4.53,2.8
1.51,"Ideal","G","VS1",61.6,56,14542,7.34,7.37,4.53
0.9,"Fair","D","SI1",64.8,59,3689,6.1,6.03,3.93
0.33,"Ideal","G","VVS1",62.4,56,820,4.41,4.45,2.76
0.83,"Ideal","D","SI2",62,55,3774,6.02,6.05,3.74
1.03,"Ideal","E","SI2",61.6,56,4199,6.5,6.45,3.99
1.63,"Ideal","G","SI1",60.6,57,12990,7.63,7.68,4.63
1.51,"Good","D","SI2",61.5,61,8742,7.37,7.42,4.55
0.35,"Premium","D","SI1",61.8,59,644,4.54,4.56,2.81
1.01,"Good","F","VS2",60.8,61,6271,6.42,6.45,3.91
0.51,"Ideal","G","VS1",62.1,55,1656,5.14,5.17,3.2
0.47,"Premium","G","SI1",59.5,60,1110,5.09,5.06,3.02
0.9,"Premium","D","SI1",62.2,58,4612,6.18,6.11,3.82
1.26,"Premium","D","VS2",62.5,59,9720,6.91,6.85,4.3
0.52,"Ideal","G","VVS2",62.7,55,1906,5.12,5.15,3.22
0.81,"Premium","F","SI1",60.3,59,3097,5.98,6.05,3.63
0.34,"Ideal","F","IF",61.8,55,999,4.49,4.51,2.78
2.02,"Very Good","F","SI1",62.8,59,15987,7.9,7.98,4.99
0.7,"Ideal","E","VS2",61.1,59,3201,5.67,5.73,3.48
0.72,"Good","F","VS2",61.1,60,2705,5.72,5.76,3.51
1.03,"Ideal","F","VS1",62.1,55,8169,6.47,6.5,4.03
0.3,"Very Good","H","SI1",63.3,56,554,4.29,4.27,2.71
0.72,"Premium","E","SI2",62.9,58,2376,5.74,5.68,3.59
1.59,"Ideal","I","VS2",61.7,57,10752,7.47,7.52,4.62
0.23,"Very Good","D","VVS1",61.7,59,485,3.94,3.97,2.44
0.4,"Very Good","E","SI1",63.2,56,882,4.69,4.65,2.95
1.06,"Premium","G","SI2",61.1,62,4238,6.61,6.55,4.02
1.02,"Ideal","H","VVS2",62.1,56,6797,6.5,6.45,4.02
0.31,"Ideal","F","VVS2",61.2,56,977,4.39,4.37,2.68
0.4,"Good","G","IF",59.7,62,1120,4.75,4.8,2.85
1.52,"Ideal","H","SI2",62,60,8620,7.31,7.37,4.55
