"carat","cut","color","clarity","depth","table","price","x","y","z"
0.35,"Very Good","D","SI1",60.2,57,644,4.56,4.61,2.76
1.16,"Premium","H","SI1",61.2,58,5454,6.76,6.81,4.15
1.2,"Very Good","F","VS2",62.4,58,7114,6.76,6.8,4.23
0.33,"Very Good","E","VVS2",62.3,56,893,4.4,4.44,2.75
0.25,"Ideal","F","IF",62.3,54,739,4.06,4.09,2.54
0.42,"Premium","G","VS1",62.4,59,984,4.8,4.78,2.99
0.32,"Ideal","J","IF",62.2,55,684,4.44,4.4,2.75
0.71,"Ideal","I","VS1",62.2,54,2557,5.71,5.75,3.56
0.56,"Ideal","G","VVS1",61.7,57,1993,5.29,5.31,3.27
2.2,"Ideal","I","SI2",62.2,56,13512,8.33,8.29,5.17
0.7,"Premium","F","SI2",62.5,60,2373,5.66,5.61,3.52
0.51,"Ideal","E","VS2",62,54,1662,5.13,5.1,3.17
1.01,"Premium","J","SI2",61.7,58,3563,6.44,6.4,3.96
1.21,"Very Good","I","SI2",62,56,5111,6.79,6.86,4.23
0.46,"Good","D","VS2",63.2,56,1205,4.89,4.92,3.1
1,"Good","G","SI1",62.2,63,5483,6.36,6.41,3.97
0.71,"Ideal","E","VS1",61.4,57,3435,5.81,5.78,3.56
0.6,"Very Good","F","SI1",60.3,59,1670,5.42,5.5,3.29
0.43,"Ideal","F","VVS2",61.9,56,1250,4.87,4.82,3
0.91,"Ideal","H","VVS2",61.7,57,5411,6.21,6.23,3.84
1,"Fair","E","SI2",65.1,59,3575,6.3,6.23,4.08
0.3,"Very Good","G","VS1",62.9,55,620,4.25,4.27,2.68
2.32,"Ideal","G","SI2",61,58,18532,8.5,8.54,5.2
0.83,"Ideal","F","SI1",62.2,55,3560,6.01,6.03,3.74
0.26,"Premium","E","VVS2",58.9,61,724,4.19,4.16,2.46
0.32,"Premium","F","VS2",61.7,58,645,4.38,4.41,2.71
0.3,"Premium","I","VVS1",62.2,58,552,4.28,4.31,2.67
0.3,"Ideal","H","IF",61.8,55,1013,4.31,4.3,2.66
0.71,"Good","F","SI1",64.3,58,2258,5.61,5.55,3.59
0.93,"Ideal","D","SI2",62.5,55,3990,6.2,6.24,3.89
0.53,"Ideal","G","IF",62.7,56,2137,5.23,5.13,3.25
0.8,"Ideal","G","VVS2",61.4,57,4740,5.96,6,3.67
1.21,"Very Good","D","VVS2",62.4,56,13630,6.76,6.83,4.24
1,"Good","G","SI1",64.3,58,4427,6.25,6.22,4.01
0.55,"Ideal","G","VVS2",62,53.8,2064,5.25,5.28,3.27
0.81,"Ideal","H","SI1",62.3,58,2951,5.95,5.96,3.71
1.56,"Premium","I","SI1",61.7,59,7155,7.44,7.38,4.57
1.13,"Ideal","H","SI1",61.9,60,5911,6.63,6.65,4.11
1.52,"Premium","I","SI1",61.2,60,8521,7.41,7.36,4.52
0.46,"Ideal","F","SI2",61.5,54,758,4.98,5.01,3.07
0.52,"Ideal","D","VS2",62.3,56,1822,5.11,5.16,3.2
0.3,"Very Good","J","VS1",61.2,61,394,4.3,4.33,2.64
