"carat","cut","color","clarity","depth","table","price","x","y","z"
1.01,"Ideal","I","SI1",62.5,56,5020,6.4,6.36,3.99
2.32,"Very Good","H","SI2",60.6,58,18508,8.56,8.6,5.2
1.16,"Ideal","G","VS2",62.5,55,8061,6.75,6.69,4.2
1.21,"Ideal","I","VVS1",61.6,55,7086,6.88,6.8,4.21
0.91,"Ideal","E","VVS1",61.7,56,9636,6.18,6.23,3.83
0.35,"Ideal","F","VS2",62.6,56,706,4.49,4.52,2.82
1.09,"Ideal","F","SI1",61.4,56,6872,6.63,6.66,4.08
1.16,"Ideal","J","SI1",61.8,55,5124,6.75,6.78,4.18
0.42,"Premium","G","VS2",62,58,847,4.77,4.81,2.97
1.04,"Good","H","I1",63.9,58,3203,6.35,6.42,4.08
0.32,"Ideal","I","VVS1",62.4,55,589,4.34,4.38,2.72
0.63,"Ideal","D","VVS2",62.6,56,2962,5.47,5.49,3.43
1.21,"Ideal","G","VVS2",62,56,10378,6.8,6.84,4.23
0.31,"Good","H","VS2",63.1,57,489,4.28,4.31,2.71
0.34,"Ideal","D","SI1",60.9,56,596,4.53,4.56,2.76
0.45,"Ideal","G","IF",61.4,56,1377,4.96,4.97,3.05
0.3,"Ideal","D","VS1",62.2,56,651,4.27,4.31,2.67
0.41,"Premium","H","SI1",60.9,60,683,4.79,4.83,2.93
1.5,"Ideal","D","SI1",60.3,57,12206,7.37,7.4,4.45
0.66,"Ideal","J","VS2",62.1,55,1316,5.6,5.64,3.49
1.23,"Good","G","SI1",63.1,56,6545,6.78,6.81,4.29
0.32,"Ideal","H","VVS1",62.9,57,936,4.38,4.33,2.74
0.51,"Ideal","D","VS2",62.3,57,1882,5.12,5.09,3.18
0.28,"Very Good","F","IF",62.2,55,612,4.23,4.26,2.64
1.02,"Premium","D","SI1",62.5,59,5998,6.4,6.34,3.98
0.33,"Ideal","G","IF",61.3,57,984,4.42,4.46,2.72
0.32,"Very Good","D","SI1",58.9,60,589,4.47,4.49,2.64
0.4,"Very Good","D","SI1",60.3,62,720,4.7,4.75,2.85
1,"Premium","E","SI2",59.9,55,3612,6.48,6.4,3.86
0.5,"Good","F","VS2",63.6,58,1333,5.02,5.05,3.2
0.8,"Good","G","SI2",63.7,58,2484,5.88,5.83,3.73
0.7,"Ideal","H","SI1",62,55,2184,5.71,5.68,3.53
0.55,"Ideal","J","VVS1",62.4,54,1238,5.25,5.29,3.29
0.7,"Very Good","H","VS1",62.8,58,2389,5.59,5.69,3.54
0.51,"Ideal","D","SI1",62.9,55,1346,5.07,5.11,3.2
0.71,"Very Good","E","VS1",63.2,60,3006,5.63,5.6,3.55
0.33,"Ideal","G","SI1",61.4,57,631,4.48,4.45,2.74
1.5,"Premium","J","VS2",59.6,60,7503,7.38,7.31,4.38
0.76,"Ideal","D","VS1",61.7,56,4377,5.84,5.87,3.61
0.26,"Ideal","H","VS1",61.8,56,448,4.12,4.14,2.55
0.25,"Very Good","E","VVS2",63,57,575,4,4.06,2.54
1.02,"Premium","G","VS2",59.8,58,6169,6.58,6.54,3.92
0.9,"Very Good","D","SI2",59.5,58,3989,6.28,6.33,3.75
0.28,"Ideal","E","VVS2",60.7,57,612,4.22,4.25,2.57
0.33,"Ideal","G","VVS2",62.3,56,713,4.43,4.47,2.77
0.29,"Very Good","G","VVS1",61.6,56,607,4.24,4.27,2.62
0.25,"Ideal","H","SI1",62.8,54,357,4.05,4.07,2.55
0.5,"Ideal","D","VS2",61.2,55,1808,5.12,5.07,3.12
0.75,"Very Good","D","SI1",63.9,56,3085,5.73,5.75,3.67
0.66,"Very Good","E","VS1",61,57.8,2618,5.64,5.69,3.45
0.52,"Ideal","D","VS2",61.4,56,1664,5.16,5.19,3.18
1.22,"Premium","E","SI1",62.3,59,7395,6.8,6.74,4.22
1.53,"Ideal","G","VS1",62.2,56,13994,7.36,7.31,4.56
0.37,"Premium","D","VS1",60.2,60,803,4.63,4.68,2.8
0.34,"Ideal","D","VS2",61.4,56,805,4.5,4.53,2.77
0.72,"Very Good","E","SI1",62.9,54,2567,5.72,5.76,3.61
0.49,"Very Good","F","SI1",62.3,57,985,5.05,5.07,3.15
0.51,"Ideal","E","SI1",62.5,56,1343,5.07,5.1,3.18
0.39,"Premium","H","VVS2",62.1,58,1097,4.65,4.63,2.88
0.77,"Ideal","D","SI2",60.2,56,2923,5.98,6.04,3.62
