"carat","cut","color","clarity","depth","table","price","x","y","z"
0.43,"Premium","F","VVS1",60.3,58,1422,4.91,4.88,2.95
1.57,"Premium","H","VVS2",62.1,56,12098,7.47,7.43,4.63
0.36,"Premium","D","SI1",61.5,59,663,4.52,4.55,2.79
0.32,"Premium","G","VVS1",61.9,58,1080,4.39,4.36,2.71
0.63,"Ideal","D","SI1",62,56,2313,5.5,5.47,3.4
0.51,"Ideal","G","VVS2",61.9,55,1875,5.15,5.19,3.2
2.2,"Premium","J","SI2",60.9,60,13065,8.42,8.34,5.1
0.24,"Very Good","E","VVS1",61.7,61,485,3.95,3.99,2.45
1.02,"Very Good","G","VVS2",62.5,59,7724,6.34,6.42,3.99
0.7,"Good","I","VS2",59.4,57,2234,5.77,5.82,3.44
0.43,"Ideal","G","SI2",61.1,55,800,4.92,4.9,3
0.27,"Very Good","E","VVS2",63,56,622,4.12,4.14,2.6
0.72,"Ideal","J","SI1",62.6,56,1966,5.67,5.74,3.57
1.06,"Premium","E","VS1",59.1,58,6669,6.66,6.71,3.95
0.39,"Premium","H","VVS1",61.5,56,990,4.73,4.7,2.9
0.3,"Ideal","F","VS1",62.3,56,603,4.26,4.28,2.66
0.41,"Very Good","E","SI1",59.3,61,705,4.8,4.84,2.86
2.18,"Premium","J","SI2",62.6,58,12970,8.25,8.23,5.16
1.04,"Ideal","F","VS1",63,56,7338,6.5,6.45,4.08
0.72,"Ideal","I","VVS1",61.4,57,2642,5.77,5.8,3.55
0.42,"Premium","E","SI1",59.8,61,926,4.89,4.85,2.91
0.51,"Ideal","D","SI1",60.7,56,1884,5.18,5.2,3.15
0.6,"Premium","E","SI1",59.6,59,2016,5.52,5.48,3.28
0.51,"Good","E","VS2",59.2,62,1554,5.22,5.29,3.11
0.42,"Ideal","F","VS1",61.3,57,1031,4.8,4.85,2.96
1.18,"Ideal","E","SI2",60.8,57,4885,6.89,6.83,4.17
0.33,"Ideal","E","VS1",59.6,56,781,4.49,4.54,2.69
1.13,"Ideal","H","I1",61.1,56,3603,6.71,6.77,4.12
0.62,"Ideal","G","VS1",62,56,2173,5.45,5.49,3.39
0.79,"Ideal","G","SI1",62.3,57,2898,5.9,5.85,3.66
0.33,"Premium","E","SI1",60.3,60,743,4.49,4.47,2.7
0.7,"Ideal","F","SI1",61.9,55,3119,5.7,5.74,3.54
0.5,"Very Good","G","VS1",62.1,55,1624,5.06,5.22,3.19
1,"Very Good","E","SI2",62.5,55,4392,6.38,6.41,4
1.56,"Ideal","H","VS2",61.6,57,11922,7.51,7.45,4.61
0.94,"Very Good","G","VS2",62.9,58.6,4488,6.1,6.25,3.89
0.91,"Fair","D","SI2",62.5,66,3079,6.08,6.01,3.78
1.14,"Ideal","F","I1",61.3,56,4124,6.76,6.74,4.13
0.23,"Very Good","D","VVS1",61.3,61,492,3.94,3.99,2.43
1.5,"Fair","I","SI1",56.7,63,7912,7.52,7.57,4.28
0.33,"Very Good","H","SI1",63,57,475,4.39,4.41,2.77
0.61,"Very Good","H","VVS2",61.4,57,1970,5.46,5.5,3.36
0.3,"Very Good","G","VVS2",63,57,684,4.28,4.32,2.71
0.38,"Ideal","E","VVS2",61.8,54.2,1073,4.66,4.69,2.89
0.41,"Ideal","G","SI2",61.3,56,605,4.78,4.81,2.94
0.9,"Good","D","VS2",57.9,62,3604,6.33,6.24,3.64
1.12,"Ideal","F","SI2",61.8,55,4140,6.69,6.66,4.13
0.42,"Premium","E","SI1",62.7,59,992,4.79,4.78,3
0.91,"Ideal","H","VS2",63,56,3743,6.15,6.05,3.84
0.4,"Ideal","E","SI1",62.4,53,694,4.73,4.75,2.96
1.01,"Very Good","F","SI1",63,58,4619,6.31,6.39,4
1.01,"Premium","G","SI2",61,58,4327,6.48,6.43,3.94
0.35,"Ideal","G","IF",61.1,56,1044,4.54,4.59,2.79
1.02,"Ideal","D","VS1",62.7,55,7118,6.49,6.4,4.04
0.9,"Very Good","H","VS1",63.5,59,4234,6.13,6.1,3.88
1.12,"Ideal","E","VVS1",61.5,56,14407,6.7,6.76,4.13
0.31,"Premium","G","VS1",59.5,59,802,4.47,4.4,2.64
1.23,"Very Good","G","SI1",63.1,56,6665,6.81,6.78,4.29
1.11,"Premium","H","SI1",58.9,59,4748,6.82,6.76,4
0.91,"Very Good","D","SI1",62.8,58,5033,6.16,6.19,3.88
0.3,"Ideal","G","IF",60.9,57,956,4.32,4.29,2.62
0.23,"Very Good","G","VVS2",60.4,58,354,3.97,4.01,2.41
0.37,"Very Good","G","VS1",63.1,56,957,4.59,4.57,2.89
0.33,"Ideal","I","VVS2",62.7,54,743,4.45,4.42,2.78
0.93,"Premium","J","VS2",61.1,59,3125,6.34,6.32,3.87
0.58,"Ideal","G","VVS1",61.3,56,2256,5.36,5.4,3.3
0.4,"Good","F","SI1",63.6,57,737,4.67,4.7,2.98
1.27,"Premium","F","SI2",61,61,5428,7.01,6.95,4.26
0.56,"Ideal","D","IF",62.4,56,4216,5.24,5.28,3.28
0.77,"Ideal","J","SI1",62,57,2257,5.84,5.87,3.63
0.55,"Ideal","D","VS2",61.7,55,2133,5.27,5.29,3.26
0.55,"Good","G","SI1",63.6,61,1213,5.22,5.16,3.3
0.71,"Very Good","G","SI1",63.2,58,2137,5.58,5.68,3.56
0.46,"Ideal","G","IF",61.7,56,1987,4.97,5.01,3.08
0.32,"Ideal","D","VS2",61.5,56,758,4.39,4.42,2.71
1.66,"Very Good","E","SI1",61.7,58,12818,7.52,7.59,4.66
0.31,"Ideal","H","VS2",62.2,53,489,4.38,4.43,2.74
0.4,"Ideal","I","VS2",62.2,55,667,4.73,4.75,2.95
1.5,"Very Good","D","SI1",60,59,12060,7.41,7.46,4.46
0.74,"Very Good","E","SI1",61.3,58,3009,5.8,5.84,3.57
0.31,"Ideal","H","IF",60.8,57,761,4.38,4.4,2.67
0.3,"Premium","H","SI1",59.5,62,540,4.35,4.32,2.58
0.52,"Very Good","G","VVS1",61.1,58,2113,5.19,5.22,3.18
0.59,"Very Good","G","VS2",62.8,59,1623,5.28,5.33,3.33
1.01,"Premium","F","VS2",63,58,6097,6.43,6.36,4.03
1.22,"Premium","E","SI2",61.5,58,6012,6.84,6.86,4.21
0.9,"Very Good","I","VS2",61.2,57,3720,6.15,6.2,3.78
1,"Ideal","E","VS2",62,56,6871,6.46,6.41,3.99
